"_type","drive_type","engine_capacity","fuel_type","id","make","manufacturer_marketing_year","model","n_cylinders","odometer","price","title","transmission","url","year"
"DealFinderItem","null","2.0","Petrol","Nissan-QASHQAI-2014/OAG-AD-16128517","Nissan","null","QASHQAI ST J11","4","38114","16590","2014 Nissan QASHQAI ST J11 Manual","Manual","carsales.com.au/dealer/details/Nissan-QASHQAI-2014/OAG-AD-16128517/?Cr=83","2014"
"DealFinderItem","2WD","1.6","Petrol","null","Nissan","null","JUKE ST F15 Series 2","4","26500","16800","2015 Nissan JUKE ST F15 Series 2 Auto 2WD","Auto","carsales.com.au/private/details/Nissan-JUKE-2015/SSE-AD-5360240/?Cr=84","2015"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Compass Sport","4","25000","16850","2015 Jeep Compass Sport Auto","Auto","carsales.com.au/private/details/Jeep-Compass-2015/SSE-AD-5517129/?Cr=85","2015"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2016/OAG-AD-16142851","Holden","null","Trax LS TJ","4","19841","16880","2016 Holden Trax LS TJ Auto","Auto","carsales.com.au/dealer/details/Holden-Trax-2016/OAG-AD-16142851/?Cr=86","2016"
"DealFinderItem","null","1.6","Petrol","Suzuki-S-Cross-2014/OAG-AD-16145273","Suzuki","null","S-Cross GLX","4","58503","16888","2014 Suzuki S-Cross GLX Auto","Auto","carsales.com.au/dealer/details/Suzuki-S-Cross-2014/OAG-AD-16145273/?Cr=87","2014"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2013/OAG-AD-15823965","Holden","null","Trax LTZ TJ","4","55578","16888","2013 Holden Trax LTZ TJ Auto","Auto","carsales.com.au/dealer/details/Holden-Trax-2013/OAG-AD-15823965/?Cr=88","2013"
"DealFinderItem","null","2.0","Petrol","Hyundai-ix35-2013/OAG-AD-16146399","Hyundai","null","ix35 SE","4","58594","16888","2013 Hyundai ix35 SE Auto","Auto","carsales.com.au/dealer/details/Hyundai-ix35-2013/OAG-AD-16146399/?Cr=89","2013"
"DealFinderItem","null","2.0","Petrol","null","Mazda","null","CX-5 Maxx Sport KE Series 2","4","43000","16900","2014 Mazda CX-5 Maxx Sport KE Series 2 Auto","Auto","carsales.com.au/private/details/Mazda-CX-5-2014/SSE-AD-5519569/?Cr=90","2014"
"DealFinderItem","2WD","1.6","Petrol","Nissan-JUKE-2013/OAG-AD-16140038","Nissan","null","JUKE ST F15","4","33630","16950","2013 Nissan JUKE ST F15 Auto 2WD","Auto","carsales.com.au/dealer/details/Nissan-JUKE-2013/OAG-AD-16140038/?Cr=91","2013"
"DealFinderItem","2WD","1.6","Petrol","Nissan-JUKE-2014/OAG-AD-16079795","Nissan","null","JUKE ST F15","4","50665","16990","2014 Nissan JUKE ST F15 Auto 2WD","Auto","carsales.com.au/dealer/details/Nissan-JUKE-2014/OAG-AD-16079795/?Cr=92","2014"
"DealFinderItem","null","2.0","Petrol","Jeep-Compass-2013/OAG-AD-15961569","Jeep","null","Compass North","4","36093","16990","2013 Jeep Compass North Auto","Auto","carsales.com.au/dealer/details/Jeep-Compass-2013/OAG-AD-15961569/?Cr=93","2013"
"DealFinderItem","null","2.0","Petrol","Jeep-Compass-2014/OAG-AD-16109093","Jeep","null","Compass Blackhawk","4","50642","16990","2014 Jeep Compass Blackhawk Auto","Auto","carsales.com.au/dealer/details/Jeep-Compass-2014/OAG-AD-16109093/?Cr=94","2014"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2014/OAG-AD-16154595","Holden","null","Trax LTZ TJ","4","24043","16990","2014 Holden Trax LTZ TJ Auto","Auto","carsales.com.au/dealer/details/Holden-Trax-2014/OAG-AD-16154595/?Cr=95","2014"
